modelo,arquitetura,n_params,folds_concluidos,media_acc,max_acc,min_acc,moda_acc_int,std_acc
AM,2L_64-128,16822212,5,77.99,79.4,76.46,77,0.95
AM,2L_32-64,8402148,5,77.51,78.64,75.36,77,1.14
AM,4L_128-256-512-512,18457988,5,77.17,82.6,63.69,63,6.99
AM,3L_64-128-256,16921284,5,76.86,78.07,74.69,77,1.2
AM,3L_32-64-128,8427108,5,76.37,77.94,74.73,76,1.04
AM,6L_32-64-64-128-256-512_mixpool,17334564,5,75.37,78.84,72.46,72,2.22
AM,5L_64-128-256-512-1024,18974404,5,74.75,80.69,64.51,64,5.8
AM,4L_32-64-128-256,8546916,5,74.39,77.05,71.71,73,2.05
AM,4L_64-128-256-512,17398468,5,74.22,76.72,72.17,73,1.63
AM,6L_64-64-128-128-256-512_mixpool,17394948,5,73.12,77.77,69.27,69,3.27
AM,3L_128-256-512,34118532,5,72.24,77.44,63.11,77,6.02
AM,5L_32-64-128-256-512,8941668,5,71.7,74.98,67.33,67,2.72
APSK,2L_32-64,8402148,5,25.0,25.01,25.0,25,0.0
APSK,2L_64-128,16822212,5,25.0,25.0,25.0,25,0.0
APSK,3L_32-64-128,8427108,5,25.0,25.0,25.0,25,0.0
APSK,3L_64-128-256,16921284,5,25.0,25.0,25.0,25,0.0
APSK,3L_128-256-512,34118532,4,25.0,25.0,25.0,25,0.0
ASK*,6L_64-64-128-128-256-512_mixpool,17394435,5,97.8,97.93,97.73,,0.07
ASK*,6L_32-64-64-128-256-512_mixpool,17334051,5,97.71,97.76,97.64,,0.04
ASK*,5L_32-64-128-256-512,8941155,5,97.7,97.81,97.57,,0.08
ASK*,5L_64-128-256-512-1024,18973891,5,97.66,97.82,97.45,,0.15
ASK*,4L_32-64-128-256,8546403,5,97.62,97.73,97.57,,0.07
ASK*,4L_64-128-256-512,17397955,5,97.62,97.69,97.56,,0.05
ASK*,4L_128-256-512-512,18457475,5,97.62,97.69,97.58,,0.04
ASK*,3L_64-128-256,16920771,5,97.09,97.22,96.96,,0.1
ASK*,3L_128-256-512,34118019,5,97.07,97.35,96.9,,0.16
ASK*,3L_32-64-128,8426595,5,96.95,97.19,96.81,,0.14
ASK*,2L_64-128,16821699,5,93.74,94.3,93.03,,0.42
ASK*,2L_32-64,8401635,5,93.28,93.95,92.99,,0.36
PSK*,2L_32-64,8403687,5,68.21,83.51,57.15,,9.61
PSK*,3L_32-64-128,8428647,5,53.26,84.92,14.29,,26.55
PSK*,4L_32-64-128-256,8548455,5,46.89,96.0,14.29,,39.94
PSK*,6L_32-64-64-128-256-512_mixpool,17336103,5,42.1,96.22,14.29,,34.95
PSK*,2L_64-128,16823751,5,36.91,42.9,14.29,,11.31
PSK*,5L_32-64-128-256-512,8943207,5,30.61,95.91,14.29,,32.65
PSK*,6L_64-64-128-128-256-512_mixpool,17396487,5,25.71,71.39,14.29,,22.84
PSK*,3L_128-256-512,34120071,5,20.0,42.85,14.29,,11.42
PSK*,3L_64-128-256,16922823,5,14.29,14.29,14.29,,0.0
PSK*,4L_64-128-256-512,17400007,5,14.29,14.29,14.29,,0.0
PSK*,4L_128-256-512-512,18459527,5,14.29,14.29,14.29,,0.0
PSK*,5L_64-128-256-512-1024,18975943,5,14.29,14.29,14.29,,0.0
QAM,2L_32-64,8402661,5,20.0,20.0,20.0,20,0.0
